codigo_comuna,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
13110,La Florida,49846,46736,3110,6.239216787706135,6.002897539774099,6.132361800395881,4.133388566694284,1.4035218054774716,2.9992376519680617,H25.9 | K80.2 | Z51.1,1329.8082361352697
13108,Independencia,10573,0,0,0.0,6.467889908256881,0.0,0.0,0.0,2.8563321668400645,Dato Faltante,1006.952380952381
13604,Padre Hurtado,4764,0,0,0.0,6.111880772460117,0.0,0.0,0.0,1.910159529806885,Dato Faltante,732.923076923077
13127,Recoleta,13435,0,0,0.0,6.3290658727205065,0.0,0.0,0.0,2.97729810197246,Dato Faltante,707.1052631578947
13505,San Pedro,1355,0,0,0.0,4.900369003690037,0.0,0.0,0.0,1.5498154981549817,Dato Faltante,1129.1666666666667
13102,Cerrillos,7623,6681,942,12.36,7.39,7.71,5.11,1.7,3.27,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),896.39
13105,Estación Central,17446,12314,5132,29.42,6.53,7.22,4.87,1.65,2.72,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1123.69
13302,Lampa,8057,6984,1073,13.32,5.99,6.23,4.47,1.42,2.02,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99),555.04
13201,Puente Alto,39492,38156,1336,3.382963638205206,4.784390194489466,4.790312434472636,4.615269461077844,1.51016687346484,2.248556669705257,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),699.6210651629739
13120,Ñuñoa,17291,15769,1522,8.8023,20.9672,21.2153,18.3968,1.3757,2.9611,H26 | K80 | K35,716.0813
13129,San Joaquín,12206,11098,1108,9.0775,23.5948,23.4759,24.7852,1.5568,3.2525,H26 | K80 | K35,1276.7515
13203,San José de Maipo,2844,2781,63,2.2152,18.8481,18.7666,22.4444,1.4132,1.4065,H26 | K80 | K35,1630.6404
13301,Colina,14742,12697,2045,13.87,5.88,6.06,4.72,1.41,2.04,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",850.7
13501,Melipilla,29404,26882,2522,8.58,4.98,5.09,3.89,1.23,2.23,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",2156.9
13601,Talagante,12342,11754,588,4.76,6.46,6.53,5.09,1.63,2.6,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1614.83
13502,Alhué,900,793,107,11.89,5.64,5.8,4.46,1.28,2.333,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1158.6
13602,El Monte,4114,4015,99,2.41,5.95,5.98,4.66,1.62,2.552,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1097.2
13107,Huechuraba,6170,5743,427,6.92,6.09,6.22,4.27,1.37,3.42,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",606.0
13112,La Pintana,25556,24778,778,3.04,5.37,5.42,3.86,1.47,1.953,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1456.8
13504,María Pinto,1683,1630,53,3.15,4.78,4.83,3.11,1.2,1.664,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1096.3
13403,Calera de Tango,1539,1502,37,2.4,7.22,7.24,6.43,1.75,2.6,"LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS, ENFERMEDADES DEL APARATO RESPIRATORIO, ENFERMEDADES DEL APARATO DIGESTIVO",603.74
13401,San Bernardo,44506,42580,1926,4.33,6.01,6.04,5.52,1.47,2.35,"EMBARAZO, PARTO Y PUERPERIO, ENFERMEDADES DEL APARATO DIGESTIVO, LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS",1452.68
13603,Isla de Maipo,2059,1989,70,3.3997085964060223,5.699854298203011,5.733534439416792,4.742857142857143,1.6192326372025254,1.6027197668771247,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",524.2654173244385
13116,Lo Espejo,5269,4949,320,6.073258682862023,6.763142911368381,6.819357445948676,5.89375,1.626684380337825,2.770924274055798,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",603.5855432728106
13202,Pirque,1731,1702,29,1.675332177931831,4.176776429809359,4.1574618096357225,5.310344827586207,1.4962449451184288,2.541883304448296,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59)",595.6641431520991
13111,La Granja,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645
